idnombre_descuento;prestaciones_idprestaciones;tipo_descuento;precio;ubicacion_empresa_idubicacion_empresa
1;40;PRECIO NORMAL;4000;3
2;40;PRECIO CONVENIO;3500;3
3;40;REIMPRESION;1500;3
4;41;PRECIO NORMAL;4000;3
5;41;PRECIO CONVENIO;3500;3
6;41;REIMPRESION;1500;3
7;42;PRECIO NORMAL;16000;3
8;42;PRECIO CONVENIO;14000;3
9;42;REIMPRESION;6000;3
10;43;PRECIO NORMAL;36000;3
11;43;PRECIO CONVENIO;33000;3
12;43;REIMPRESION;12000;3
13;44;PRECIO NORMAL;12000;3
14;44;PRECIO CONVENIO;10500;3
15;44;REIMPRESION;4500;3
16;45;PRECIO NORMAL;22000;3
17;45;PRECIO CONVENIO;20000;3
18;45;REIMPRESION;6000;3
19;46;PRECIO NORMAL;18000;3
20;46;PRECIO CONVENIO;16000;3
21;46;REIMPRESION;6000;3
22;47;PRECIO NORMAL;18000;3
23;47;PRECIO CONVENIO;16000;3
24;47;REIMPRESION;6000;3
25;48;PRECIO NORMAL;15000;3
26;48;PRECIO CONVENIO;12000;3
27;48;REIMPRESION;6000;3
28;49;PRECIO NORMAL;23000;3
29;49;PRECIO CONVENIO;20000;3
30;49;REIMPRESION;6000;3
31;50;PRECIO NORMAL;23000;3
32;50;PRECIO CONVENIO;20000;3
33;50;REIMPRESION;60000;3
36;51;PRECIO NORMAL;48000;3
37;51;PRECIO CONVENIO;46000;3
38;51;DR. CARLOS GONZALEZ, ARMANDO ESPINOZA, GONZALO MUÑOZ, ALFREDO ESPINOZA;30000;3
39;51;REIMPRESION;20000;3
40;52;PRECIO NORMAL;48000;3
41;52;PRECIO CONVENIO;46000;3
42;52;DR. CARLOS GONZALEZ, ARMANDO ESPINOZA, GONZALO MUÑOZ, ALFREDO ESPINOZA;30000;3
43;52;REIMPRESION;20000;3
44;53;PRECIO NORMAL;80000;3
45;53;PRECIO CONVENIO;69500;3
46;53;DR. CARLOS GONZALEZ, ARMANDO ESPINOZA, GONZALO MUÑOZ, ALFREDO ESPINOZA;40000;3
47;53;REIMPRESION;30000;3
48;54;PRECIO NORMAL;38000;3
49;54;PRECIO CONVENIO;36000;3
50;54;DR. CARLOS GONZALEZ, ARMANDO ESPINOZA, GONZALO MUÑOZ, ALFREDO ESPINOZA;25000;3
51;54;REIMPRESION;15000;3
52;55;PRECIO NORMAL;48000;3
53;55;PRECIO CONVENIO;46000;3
54;55;DR. CARLOS GONZALEZ, ARMANDO ESPINOZA, GONZALO MUÑOZ, ALFREDO ESPINOZA;30000;3
55;55;REIMPRESION;20000;3
56;56;PRECIO NORMAL;60000;3
57;56;PRECIO CONVENIO;50000;3
58;56;DR. CARLOS GONZALEZ, ARMANDO ESPINOZA, GONZALO MUÑOZ, ALFREDO ESPINOZA;40000;3
59;56;REIMPRESION;20000;3
60;57;PRECIO NORMAL;60000;3
61;57;PRECIO CONVENIO;50000;3
62;57;DR. CARLOS GONZALEZ, ARMANDO ESPINOZA, GONZALO MUÑOZ, ALFREDO ESPINOZA;40000;3
63;57;REIMPRESION;20000;3
64;58;PRECIO NORMAL;80000;3
65;58;PRECIO CONVENIO;69500;3
66;58;DR. CARLOS GONZALEZ, ARMANDO ESPINOZA, GONZALO MUÑOZ, ALFREDO ESPINOZA;55000;3
67;58;REIMPRESION;30000;3
68;59;PRECIO NORMAL;10500;3
69;59;PRECIO CONVENIO;9000;3
70;59;REIMPRESION;6000;3
71;60;PRECIO NORMAL;10500;3
72;60;PRECIO CONVENIO;9000;3
73;60;REIMPRESION;6000;3
74;61;PRECIO NORMAL;10500;3
75;61;PRECIO CONVENIO;9000;3
76;61;REIMPRESION;6000;3
77;62;PRECIO NORMAL;10500;3
78;62;PRECIO CONVENIO;9000;3
79;62;REIMPRESION;6000;3
80;63;PRECIO NORMAL;10500;3
81;63;PRECIO CONVENIO;9000;3
82;63;REIMPRESION;6000;3
83;64;PRECIO NORMAL;21000;3
84;64;PRECIO CONVENIO;18500;3
85;64;REIMPRESION;8000;3
336;85;PRECIO NORMAL;25000;3
337;86;PRECIO NORMAL;25000;3
338;87;PRECIO NORMAL;10000;3
339;88;PRECIO NORMAL;10000;3
340;89;PRECIO NORMAL;15000;3
341;90;PRECIO NORMAL;15000;3
342;91;PRECIO NORMAL;15000;3
343;92;PRECIO NORMAL;25000;3
